frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
14,ok,response,2,0,,,,true,1097001799,1104502139,5485008.995,5522510.695,37501.700,5062.010,7E 32 30 30 32 34 36 30 30 44 30 31 32 45 31 30 30 41 32 38 30 30 31 37 43 30 37 36 43 43 30 46 39 42 43 0D,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
15,ok,request,2,97,,,,true,1252252419,1255976950,6261262.095,6279884.750,18622.655,738751.400,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
16,ok,response,2,0,,,,true,1257113432,1281281216,6285567.160,6406406.080,120838.920,5682.410,7E 32 30 30 32 34 36 30 30 38 30 36 32 44 45 46 32 30 30 30 30 35 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 46 31 30 30 30 31 30 44 45 45 30 30 30 32 30 42 45 41 30 42 45 43 30 30 30 34 30 42 45 39 30 30 30 32 30 42 44 36 30 42 44 36 30 30 30 30 30 42 44 36 30 30 30 30 30 42 44 36 30 42 44 36 30 30 30 30 30 42 44 36 30 30 30 30 45 38 43 36 0D,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=57.074V I=0.0A SOC=86% SOH=100% cycles=0 cell_max=3.569V#1 cell_min=3.566V#2 MOS=31.9C T1=32.1C T2=31.8C T4=29.9C T5=29.9C,
17,ok,request,66,97,,,,true,1412244378,1415968914,7061221.890,7079844.570,18622.680,654815.810,7E 32 30 34 32 34 36 36 31 30 30 30 30 46 44 41 37 0D,Pylon req addr=0x42 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
18,ok,response,2,0,,,,true,1417204232,1441372015,7086021.160,7206860.075,120838.915,6176.590,7E 32 30 30 32 34 36 30 30 38 30 36 32 44 45 46 33 30 30 30 30 35 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 46 32 30 30 30 31 30 44 45 44 30 30 30 32 30 42 45 41 30 42 45 42 30 30 30 34 30 42 45 39 30 30 30 31 30 42 44 36 30 42 44 36 30 30 30 30 30 42 44 36 30 30 30 30 30 42 44 36 30 42 44 36 30 30 30 30 30 42 44 36 30 30 30 30 45 38 43 37 0D,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=57.075V I=0.0A SOC=86% SOH=100% cycles=0 cell_max=3.570V#1 cell_min=3.565V#2 MOS=31.9C T1=32.0C T2=31.8C T4=29.9C T5=29.9C,
19,ok,request,2,99,,,,true,1580233646,1583958174,7901168.230,7919790.870,18622.640,694308.155,7E 32 30 30 32 34 36 36 33 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
20,ok,response,2,0,,,,true,1584816213,1592316552,7924081.065,7961582.760,37501.695,4290.195,7E 32 30 30 32 34 36 30 30 44 30 31 32 45 31 30 30 41 32 38 30 30 31 37 43 30 37 36 43 43 30 46 39 42 43 0D,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
21,ok,request,2,97,,,,true,1740221165,1743945700,8701105.825,8719728.500,18622.675,739523.065,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
22,ok,response,2,0,,,,true,1745032017,1769199801,8725160.085,8845999.005,120838.920,5431.585,7E 32 30 30 32 34 36 30 30 38 30 36 32 44 45 46 35 30 30 30 30 35 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 46 33 30 30 30 31 30 44 45 46 30 30 30 32 30 42 45 41 30 42 45 43 30 30 30 34 30 42 45 38 30 30 30 32 30 42 44 36 30 42 44 36 30 30 30 30 30 42 44 36 30 30 30 30 30 42 44 36 30 42 44 36 30 30 30 30 30 42 44 36 30 30 30 30 45 38 43 31 0D,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=57.077V I=0.0A SOC=86% SOH=100% cycles=0 cell_max=3.571V#1 cell_min=3.567V#2 MOS=31.9C T1=32.1C T2=31.7C T4=29.9C T5=29.9C,
23,ok,request,18,97,,,,true,1900209107,1903933642,9501045.535,9519668.210,18622.675,655046.530,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
