sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
19,true,complete,37,38,0x81,0x03,0x0000,127,10380919.475,10390711.045,10403667.780,10673462.710,12956.735,292543.235,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
20,true,complete,39,40,0x81,0x03,0x0000,127,10943021.265,10952812.840,10967841.330,11237636.260,15028.490,294614.995,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
21,true,complete,41,42,0x81,0x03,0x0000,127,11509121.495,11518913.070,11531702.380,11801497.305,12789.310,292375.810,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
22,true,complete,43,44,0x81,0x03,0x0000,127,12071991.290,12081782.860,12095771.760,12365566.685,13988.900,293575.395,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
23,true,complete,45,46,0x81,0x03,0x0000,127,12637808.695,12647600.265,12665674.545,12935469.475,18074.280,297660.780,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
24,true,complete,47,48,0x81,0x03,0x0000,127,13206039.935,13215831.505,13229848.095,13499643.025,14016.590,293603.090,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
25,true,complete,49,50,0x81,0x03,0x0000,127,13771254.565,13781046.135,13793709.145,14063504.070,12663.010,292249.505,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
26,true,complete,51,52,0x81,0x03,0x0000,127,14334038.140,14343829.715,14357778.525,14627573.455,13948.810,293535.315,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
27,true,complete,53,54,0x81,0x03,0x0000,127,14899897.920,14909689.490,14927785.480,15197580.410,18095.990,297682.490,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
28,true,complete,55,56,0x81,0x03,0x0000,127,15467914.735,15477706.310,15491854.860,15761649.790,14148.550,293735.055,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
29,true,complete,57,58,0x81,0x03,0x0000,127,16033191.805,16042983.375,16055715.905,16325510.835,12732.530,292319.030,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
30,true,complete,59,60,0x81,0x03,0x0000,127,16595885.310,16605676.885,16619889.460,16889684.385,14212.575,293799.075,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
31,true,complete,61,62,0x81,0x03,0x0000,127,17161987.265,17171778.840,17189792.245,17459587.175,18013.405,297599.910,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
32,true,complete,63,64,0x81,0x03,0x0000,127,17730106.230,17739897.805,17753965.795,18023760.725,14067.990,293654.495,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
33,true,complete,65,66,0x81,0x03,0x0000,127,18294832.425,18304624.000,18317722.675,18587517.605,13098.675,292685.180,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
34,true,complete,67,68,0x81,0x03,0x0000,127,18858038.630,18867830.205,18881896.220,19151691.155,14066.015,293652.525,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
35,true,complete,69,70,0x81,0x03,0x0000,127,19423773.765,19433565.335,19445757.270,19715552.200,12191.935,291778.435,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
36,true,complete,71,72,0x81,0x03,0x0000,127,19986009.960,19995801.530,20009930.820,20279725.750,14129.290,293715.790,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
37,true,complete,73,74,0x81,0x03,0x0000,127,20551345.000,20561136.575,20573896.030,20843690.960,12759.455,292345.960,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
38,true,complete,75,76,0x81,0x03,0x0000,127,21114010.950,21123802.525,21137965.415,21407760.340,14162.890,293749.390,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
39,true,complete,77,78,0x81,0x03,0x0000,127,21680033.970,21689825.545,21707868.200,21977663.130,18042.655,297629.160,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
40,true,complete,79,80,0x81,0x03,0x0000,127,22247778.390,22257569.965,22271937.580,22541732.510,14367.615,293954.120,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
41,true,complete,81,82,0x81,0x03,0x0000,127,22813333.260,22823124.835,22835798.625,23105593.555,12673.790,292260.295,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
42,true,complete,83,84,0x81,0x03,0x0000,127,23375821.160,23385612.730,23399972.175,23669767.105,14359.445,293945.945,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
43,true,complete,85,86,0x81,0x03,0x0000,127,23942019.975,23951811.550,23969874.960,24239669.890,18063.410,297649.915,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
44,true,complete,87,88,0x81,0x03,0x0000,127,24509944.730,24519736.310,24533944.345,24803739.275,14208.035,293794.545,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
