frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
20,ok,response,18,0,,,,true,1877258989,1884758950,9386294.945,9423794.750,37499.805,9069.430,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
21,ok,request,2,97,,,,true,2031708016,2035432550,10158540.080,10177162.750,18622.670,734745.330,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
22,ok,request,18,97,,,,true,2207698813,2211423342,11038494.065,11057116.710,18622.645,861331.315,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
23,ok,response,18,0,,,,true,2213269865,2237436388,11066349.325,11187181.940,120832.615,9232.615,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 41 34 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 45 30 30 30 31 30 44 38 34 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 43 30 30 30 31 30 42 42 31 30 42 42 31 30 30 30 31 30 42 42 31 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 43 30 30 30 31 45 39 30 34 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.460V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.470V#1 cell_min=3.460V#1 MOS=25.9C T1=26.2C T2=25.7C T4=26.2C T5=26.2C,
24,ok,request,18,99,,,,true,2367686942,2371411473,11838434.710,11857057.365,18622.655,651252.770,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
25,ok,response,18,0,,,,true,2373255805,2380755765,11866279.025,11903778.825,37499.800,9221.660,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
26,ok,request,18,97,,,,true,2527675138,2531399670,12638375.690,12656998.350,18622.660,734596.865,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
27,ok,response,18,0,,,,true,2533269111,2557435633,12666345.555,12787178.165,120832.610,9347.205,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 41 34 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 45 30 30 30 31 30 44 38 35 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 42 30 30 30 31 30 42 42 31 30 42 42 31 30 30 30 31 30 42 42 31 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 42 30 30 30 31 45 39 30 35 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.460V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.470V#1 cell_min=3.461V#1 MOS=25.9C T1=26.2C T2=25.6C T4=26.2C T5=26.2C,
28,ok,request,34,97,,,,true,2687662425,2691386954,13438312.125,13456934.770,18622.645,651133.960,7E 32 30 32 32 34 36 36 31 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x22 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
29,ok,request,18,99,,,,true,2863653319,2867377843,14318266.595,14336889.215,18622.620,861331.825,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
