sequence_no,frame_count,start_us,end_us,duration_us,gap_from_previous_us,unique_can_ids,first_frame_no,last_frame_no
1,12,56493.770,1156768.715,1100274.945,,0x351 0x355 0x356 0x359 0x35C 0x35E 0x370 0x371,1,12
2,7,1256964.235,1856820.360,599856.125,100195.520,0x351 0x355 0x356 0x359 0x35C 0x370 0x371,13,19
3,17,1957007.865,3556876.990,1599869.125,100187.505,0x351 0x355 0x356 0x359 0x35C 0x35E 0x370 0x371,20,36
4,7,3657076.490,4256929.285,599852.795,100199.500,0x351 0x355 0x356 0x359 0x35C 0x370 0x371,37,43
5,17,4357114.820,5956987.240,1599872.420,100185.535,0x351 0x355 0x356 0x359 0x35C 0x35E 0x370 0x371,44,60
6,7,6057182.760,6657038.205,599855.445,100195.520,0x351 0x355 0x356 0x359 0x35C 0x370 0x371,61,67
7,17,6757227.390,8357096.845,1599869.455,100189.185,0x351 0x355 0x356 0x359 0x35C 0x35E 0x370 0x371,68,84
8,7,8457300.380,9057149.145,599848.765,100203.535,0x351 0x355 0x356 0x359 0x35C 0x370 0x371,85,91
9,9,9157348.675,9957169.605,799820.930,100199.530,0x351 0x355 0x356 0x359 0x35C 0x35E 0x370 0x371,92,100
