frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
327,ok,standard,0x313,data,8,1257781381,1257826461,6288906.905,6289132.305,225.400,19761.555,16 4B 00 00 01 3D 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4B 00 00 01 3D 56 64],0x313 pack V=57.07V I=+0.0A Tavg=31.7C SOC=86%% SOH=100%% lifeWarn=0,
328,ok,standard,0x314,data,8,1261770834,1261818314,6308854.170,6309091.570,237.400,19721.865,01 AE 01 F4 00 03 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 03 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=3mV cycles=0,
329,ok,standard,0x319,data,8,1265771081,1265816961,6328855.405,6329084.805,229.400,19763.835,C0 0D F2 0D EF 01 07 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F2 0D EF 01 07 00],0x319 cell_max=3.570V#1 cell_min=3.567V#7 dV=3mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
330,ok,standard,0x320,data,8,1269782142,1269826822,6348910.710,6349134.110,223.400,19825.905,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
331,ok,standard,0x321,data,8,1273778388,1273826668,6368891.940,6369133.340,241.400,19757.830,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
332,ok,standard,0x322,data,8,1277891445,1277937325,6389457.225,6389686.625,229.400,20323.885,01 3B 00 00 03 04 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 03 04 56 56],0x322 Tmax=31.5C#3 Tmin=0.0C#4 SOCmax=86%% SOCmin=86%%,
333,ok,standard,0x323,data,8,1281772091,1281820771,6408860.455,6409103.855,243.400,19173.830,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
334,ok,standard,0x311,data,8,1285772346,1285818226,6428861.730,6429091.130,229.400,19757.875,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
335,ok,standard,0x312,data,8,1289773397,1289821677,6448866.985,6449108.385,241.400,19775.855,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
336,ok,standard,0x313,data,8,1293772456,1293817536,6468862.280,6469087.680,225.400,19753.895,16 4B 00 00 01 3D 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4B 00 00 01 3D 56 64],0x313 pack V=57.07V I=+0.0A Tavg=31.7C SOC=86%% SOH=100%% lifeWarn=0,
337,ok,standard,0x301,data,8,1296122487,1296166767,6480612.435,6480833.835,221.400,11524.755,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
338,ok,standard,0x314,data,8,1297783369,1297830849,6488916.845,6489154.245,237.400,8083.010,01 AE 01 F4 00 03 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 03 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=3mV cycles=0,
339,ok,standard,0x319,data,8,1301783964,1301829844,6508919.820,6509149.220,229.400,19765.575,C0 0D F2 0D EF 01 07 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F2 0D EF 01 07 00],0x319 cell_max=3.570V#1 cell_min=3.567V#7 dV=3mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
340,ok,standard,0x320,data,8,1305780609,1305825289,6528903.045,6529126.445,223.400,19753.825,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
341,ok,standard,0x321,data,8,1309772802,1309821082,6548864.010,6549105.410,241.400,19737.565,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
342,ok,standard,0x322,data,8,1313773447,1313819327,6568867.235,6569096.635,229.400,19761.825,01 3B 00 00 03 01 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 03 01 56 56],0x322 Tmax=31.5C#3 Tmin=0.0C#1 SOCmax=86%% SOCmin=86%%,
343,ok,standard,0x323,data,8,1317810902,1317859582,6589054.510,6589297.910,243.400,19957.875,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
344,ok,standard,0x311,data,8,1321773962,1321819842,6608869.810,6609099.210,229.400,19571.900,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
345,ok,standard,0x312,data,8,1325775005,1325823285,6628875.025,6629116.425,241.400,19775.815,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
346,ok,standard,0x313,data,8,1329774058,1329819138,6648870.290,6649095.690,225.400,19753.865,16 4B 00 00 01 3D 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4B 00 00 01 3D 56 64],0x313 pack V=57.07V I=+0.0A Tavg=31.7C SOC=86%% SOH=100%% lifeWarn=0,
347,ok,standard,0x314,data,8,1333774243,1333821723,6668871.215,6669108.615,237.400,19775.525,01 AE 01 F4 00 04 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 04 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=4mV cycles=0,
348,ok,standard,0x319,data,8,1337785307,1337831587,6688926.535,6689157.935,231.400,19817.920,C0 0D F2 0D EE 01 07 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F2 0D EE 01 07 00],0x319 cell_max=3.570V#1 cell_min=3.566V#7 dV=4mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
349,ok,standard,0x320,data,8,1341774358,1341819038,6708871.790,6709095.190,223.400,19713.855,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
350,ok,standard,0x321,data,8,1345793008,1345841288,6728965.040,6729206.440,241.400,19869.850,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
351,ok,standard,0x322,data,8,1349784059,1349829939,6748920.295,6749149.695,229.400,19713.855,01 3B 00 00 03 01 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 03 01 56 56],0x322 Tmax=31.5C#3 Tmin=0.0C#1 SOCmax=86%% SOCmin=86%%,
352,ok,standard,0x323,data,8,1353775519,1353824199,6768877.595,6769120.995,243.400,19727.900,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
353,ok,standard,0x311,data,8,1357795699,1357841579,6788978.495,6789207.895,229.400,19857.500,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
354,ok,standard,0x312,data,8,1361776751,1361825031,6808883.755,6809125.155,241.400,19675.860,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
355,ok,standard,0x313,data,8,1365786931,1365832011,6828934.655,6829160.055,225.400,19809.500,16 4B 00 00 01 3D 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4B 00 00 01 3D 56 64],0x313 pack V=57.07V I=+0.0A Tavg=31.7C SOC=86%% SOH=100%% lifeWarn=0,
356,ok,standard,0x314,data,8,1369783186,1369830666,6848915.930,6849153.330,237.400,19755.875,01 AE 01 F4 00 03 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 03 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=3mV cycles=0,
