sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
25,true,complete,49,50,0x01,0x03,0x1230,16,6359795.015,6360610.975,6365403.920,6368610.880,4792.945,8815.865,JKBMS Modbus req slave=0x01 func=0x03 start=0x1230 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1230..0x123F bytes=32 crc=OK
26,true,complete,51,52,0x01,0x03,0x1240,32,6614515.215,6615331.180,6620857.025,6626837.430,5525.845,12322.215,JKBMS Modbus req slave=0x01 func=0x03 start=0x1240 count=32 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1240..0x125F bytes=64 crc=OK
27,true,complete,53,54,0x01,0x03,0x1244,6,6872526.365,6873342.335,6878424.880,6879898.415,5082.545,7372.050,JKBMS Modbus req slave=0x01 func=0x03 start=0x1244 count=6 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1244..0x1249 bytes=12 crc=OK
28,true,complete,55,56,0x01,0x03,0x128A,40,7125572.040,7126388.000,7131442.530,7138809.665,5054.530,13237.625,JKBMS Modbus req slave=0x01 func=0x03 start=0x128A count=40 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x128A..0x12B1 bytes=80 crc=OK
29,true,complete,57,58,0x01,0x03,0x12B8,2,7384703.085,7385519.050,7390449.105,7391229.275,4930.055,6526.190,JKBMS Modbus req slave=0x01 func=0x03 start=0x12B8 count=2 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x12B8..0x12B9 bytes=4 crc=OK
30,true,complete,59,60,0x01,0x03,0x1200,16,7636694.040,7637510.005,7642470.040,7645676.985,4960.035,8982.945,JKBMS Modbus req slave=0x01 func=0x03 start=0x1200 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1200..0x120F bytes=32 crc=OK
31,true,complete,61,62,0x01,0x03,0x1210,16,7891689.925,7892505.885,7897472.430,7900679.385,4966.545,8989.460,JKBMS Modbus req slave=0x01 func=0x03 start=0x1210 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1210..0x121F bytes=32 crc=OK
32,true,complete,63,64,0x01,0x03,0x1220,16,8146807.285,8147623.250,8152596.180,8155803.130,4972.930,8995.845,JKBMS Modbus req slave=0x01 func=0x03 start=0x1220 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1220..0x122F bytes=32 crc=OK
33,true,complete,65,66,0x01,0x03,0x1230,16,8401747.480,8402563.440,8407503.245,8410710.190,4939.805,8962.710,JKBMS Modbus req slave=0x01 func=0x03 start=0x1230 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1230..0x123F bytes=32 crc=OK
34,true,complete,67,68,0x01,0x03,0x1240,32,8657710.405,8658526.370,8663554.355,8669534.765,5027.985,11824.360,JKBMS Modbus req slave=0x01 func=0x03 start=0x1240 count=32 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1240..0x125F bytes=64 crc=OK
35,true,complete,69,70,0x01,0x03,0x1244,6,8914716.060,8915532.025,8920524.185,8921997.715,4992.160,7281.655,JKBMS Modbus req slave=0x01 func=0x03 start=0x1244 count=6 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1244..0x1249 bytes=12 crc=OK
36,true,complete,71,72,0x01,0x03,0x128A,40,9167631.115,9168447.080,9173533.160,9180900.300,5086.080,13269.185,JKBMS Modbus req slave=0x01 func=0x03 start=0x128A count=40 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x128A..0x12B1 bytes=80 crc=OK
37,true,complete,73,74,0x01,0x03,0x12B8,2,9426720.300,9427536.270,9432548.410,9433328.580,5012.140,6608.280,JKBMS Modbus req slave=0x01 func=0x03 start=0x12B8 count=2 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x12B8..0x12B9 bytes=4 crc=OK
38,true,complete,75,76,0x01,0x03,0x1200,16,9678628.850,9679444.810,9684560.680,9687767.625,5115.870,9138.775,JKBMS Modbus req slave=0x01 func=0x03 start=0x1200 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1200..0x120F bytes=32 crc=OK
39,true,complete,77,78,0x01,0x03,0x1210,16,9933688.040,9934504.000,9939658.410,9942865.360,5154.410,9177.320,JKBMS Modbus req slave=0x01 func=0x03 start=0x1210 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1210..0x121F bytes=32 crc=OK
