frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
40,ok,exception,0x01,0x03,,,,true,1593552378,1594594044,7967761.890,7972970.220,5208.330,49466.740,01 83 01 80 F0,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK,exception func=0x03 code=0x01,
41,ok,request,0x01,0x03,0x0071,16,,true,1662500944,1664459258,8312504.720,8322296.290,9791.570,339534.500,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
42,ok,response,0x01,0x03,0x0071,16,32,true,1674355234,1682063526,8371776.170,8410317.630,38541.460,49479.880,01 03 20 0D 8E 0D 87 0D 8D 0D 8C 0D 8C 0D 8F 0D 8C 0D 8F 0D 90 0D 8E 0D 8F 0D 91 0D 90 0D 8A 0D 8E 0D 8D 65 05,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=16 min=3.463V#2 max=3.473V#12,
43,ok,request,0x01,0x03,0x0010,15,,true,1744121268,1746079582,8720606.340,8730397.910,9791.570,310288.710,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
44,ok,response,0x01,0x03,0x0010,15,30,true,1755953685,1763245316,8779768.425,8816226.580,36458.155,49370.515,01 03 1E 00 00 00 00 00 00 00 69 00 00 00 46 15 AF 00 00 00 1A 46 50 36 D8 4E 20 00 00 00 00 00 00 88 03,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0069 mode=standby err=NO bal=ON master=standalone sp=none, prot=0x0000 (none), SOC=70%%, pack_v=55.51V, |pack_i|=0.00A, temp=26C",
45,ok,request,0x01,0x03,0x0020,11,,true,1825312726,1827271041,9126563.630,9136355.205,9791.575,310337.050,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
46,ok,exception,0x01,0x03,,,,true,1837149773,1838191439,9185748.865,9190957.195,5208.330,49393.660,01 83 01 80 F0,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK,exception func=0x03 code=0x01,
47,ok,request,0x01,0x03,0x0071,16,,true,1906103115,1908061430,9530515.575,9540307.150,9791.575,339558.380,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
48,ok,response,0x01,0x03,0x0071,16,32,true,1917953962,1925662253,9589769.810,9628311.265,38541.455,49462.660,01 03 20 0D 8E 0D 87 0D 8D 0D 8C 0D 8C 0D 8F 0D 8C 0D 8F 0D 90 0D 8E 0D 8F 0D 91 0D 90 0D 8A 0D 8E 0D 8D 65 05,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=16 min=3.463V#2 max=3.473V#12,
49,ok,request,0x01,0x03,0x0010,15,,true,1987712789,1989671104,9938563.945,9948355.520,9791.575,310252.680,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
