frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
66,ok,response,0x51,0x03,0x0000,127,254,true,3663544535,3717503521,18317722.675,18587517.605,269794.930,13098.675,51 03 FE 0D AA 0E 78 0E 5C 0E 72 0E 75 0E 30 0E 78 0E 75 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 41 00 41 FF FF FF FF FF FF FF FF FF FF FF FF 01 25 75 30 03 E8 00 04 00 08 00 02 0E 78 00 02 0D AA 00 01 00 CE 00 41 00 01 00 41 00 01 00 00 00 00 00 00 00 00 0A F0 00 01 00 01 75 30 02 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 4A 00 FF 00 00 00 00 00 00 00 00 75 30 1A 06 13 03 1B 2F 00 00 00 00 00 11 00 00 00 00 00 00 75 30 00 00 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 1D 00 FB 00 00 00 00 00 00 FF FF FF FF FF FF FF FF 00 FF 8E 4E,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK,"response regs 0x0000..0x007E: cells count=8 C01=3.498V C02=3.704V C03=3.676V C04=3.698V C05=3.701V C06=3.632V C07=3.704V C08=3.701V min=3.498V#1 max=3.704V#2, SOC=100.0%#58, SOC_candidate=0.0%#95 I=+0.0A, T1=25.0C, T2=25.0C, MOS=34.0C, temp_count=2",
67,ok,request,0x81,0x03,0x0000,127,,true,3771607726,3773566041,18858038.630,18867830.205,9791.575,270521.025,81 03 00 00 00 7F 1B EA,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,read holding registers start=0x0000 count=127 cells/info block,
68,ok,response,0x51,0x03,0x0000,127,254,true,3776379244,3830338231,18881896.220,19151691.155,269794.935,14066.015,51 03 FE 0D A4 0E 74 0E 61 0E 75 0E 74 0E 32 0E 74 0E 7A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 41 00 41 FF FF FF FF FF FF FF FF FF FF FF FF 01 25 75 30 03 E8 00 05 00 08 00 02 0E 7A 00 08 0D A4 00 01 00 D6 00 41 00 01 00 41 00 01 00 00 00 00 00 00 00 00 0A F0 00 01 00 01 75 30 80 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 4A 00 FF 00 00 00 00 00 00 00 00 75 30 1A 06 13 03 1B 30 00 00 00 00 00 11 00 00 00 00 00 00 75 30 00 00 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 1D 00 FB 00 00 00 00 00 00 FF FF FF FF FF FF FF FF 00 FF 31 17,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK,"response regs 0x0000..0x007E: cells count=8 C01=3.492V C02=3.700V C03=3.681V C04=3.701V C05=3.700V C06=3.634V C07=3.700V C08=3.706V min=3.492V#1 max=3.706V#8, SOC=100.0%#58, SOC_candidate=0.0%#95 I=+0.0A, T1=25.0C, T2=25.0C, MOS=34.0C, temp_count=2",
69,ok,request,0x81,0x03,0x0000,127,,true,3884754753,3886713067,19423773.765,19433565.335,9791.570,272082.610,81 03 00 00 00 7F 1B EA,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,read holding registers start=0x0000 count=127 cells/info block,
70,ok,response,0x51,0x03,0x0000,127,254,true,3889151454,3943110440,19445757.270,19715552.200,269794.930,12191.935,51 03 FE 0D A4 0E 74 0E 61 0E 75 0E 74 0E 32 0E 74 0E 7A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 41 00 41 FF FF FF FF FF FF FF FF FF FF FF FF 01 25 75 30 03 E8 00 05 00 08 00 02 0E 7A 00 08 0D A4 00 01 00 D6 00 41 00 01 00 41 00 01 00 00 00 00 00 00 00 00 0A F0 00 01 00 01 75 30 80 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 4A 00 FF 00 00 00 00 00 00 00 00 75 30 1A 06 13 03 1B 30 00 00 00 00 00 11 00 00 00 00 00 00 75 30 00 00 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 1D 00 FB 00 00 00 00 00 00 FF FF FF FF FF FF FF FF 00 FF 31 17,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK,"response regs 0x0000..0x007E: cells count=8 C01=3.492V C02=3.700V C03=3.681V C04=3.701V C05=3.700V C06=3.634V C07=3.700V C08=3.706V min=3.492V#1 max=3.706V#8, SOC=100.0%#58, SOC_candidate=0.0%#95 I=+0.0A, T1=25.0C, T2=25.0C, MOS=34.0C, temp_count=2",
71,ok,request,0x81,0x03,0x0000,127,,true,3997201992,3999160306,19986009.960,19995801.530,9791.570,270457.760,81 03 00 00 00 7F 1B EA,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,read holding registers start=0x0000 count=127 cells/info block,
72,ok,response,0x51,0x03,0x0000,127,254,true,4001986164,4055945150,20009930.820,20279725.750,269794.930,14129.290,51 03 FE 0D A4 0E 74 0E 61 0E 75 0E 74 0E 32 0E 74 0E 7A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 41 00 41 FF FF FF FF FF FF FF FF FF FF FF FF 01 25 75 30 03 E8 00 05 00 08 00 02 0E 7A 00 08 0D A4 00 01 00 D6 00 41 00 01 00 41 00 01 00 00 00 00 00 00 00 00 0A F0 00 01 00 01 75 30 80 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 4A 00 FF 00 00 00 00 00 00 00 00 75 30 1A 06 13 03 1B 30 00 00 00 00 00 11 00 00 00 00 00 00 75 30 00 00 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 1D 00 FB 00 00 00 00 00 00 FF FF FF FF FF FF FF FF 00 FF 31 17,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK,"response regs 0x0000..0x007E: cells count=8 C01=3.492V C02=3.700V C03=3.681V C04=3.701V C05=3.700V C06=3.634V C07=3.700V C08=3.706V min=3.492V#1 max=3.706V#8, SOC=100.0%#58, SOC_candidate=0.0%#95 I=+0.0A, T1=25.0C, T2=25.0C, MOS=34.0C, temp_count=2",
73,ok,request,0x81,0x03,0x0000,127,,true,4110269000,4112227315,20551345.000,20561136.575,9791.575,271619.250,81 03 00 00 00 7F 1B EA,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,read holding registers start=0x0000 count=127 cells/info block,
74,ok,response,0x51,0x03,0x0000,127,254,true,4114779206,4168738192,20573896.030,20843690.960,269794.930,12759.455,51 03 FE 0D B1 0E 74 0E 61 0E 75 0E 74 0E 32 0E 74 0E 7B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 41 00 41 FF FF FF FF FF FF FF FF FF FF FF FF 01 25 75 2E 03 E8 00 07 00 08 00 02 0E 7B 00 08 0D B1 00 01 00 CA 00 41 00 01 00 41 00 01 00 00 00 00 00 00 00 00 0A F0 00 01 00 01 75 30 80 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 4A 00 FF 00 00 00 00 00 00 00 00 75 30 1A 06 13 03 1B 33 00 00 00 00 00 11 00 00 00 00 00 00 75 30 00 10 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 1D 00 FB 00 00 00 00 00 00 FF FF FF FF FF FF FF FF 00 FF 2B EE,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK,"response regs 0x0000..0x007E: cells count=8 C01=3.505V C02=3.700V C03=3.681V C04=3.701V C05=3.700V C06=3.634V C07=3.700V C08=3.707V min=3.505V#1 max=3.707V#8, SOC=100.0%#58, SOC_candidate=0.0%#95 I=+0.0A, T1=25.0C, T2=25.0C, MOS=34.0C, temp_count=2",
75,ok,request,0x81,0x03,0x0000,127,,true,4222802190,4224760505,21114010.950,21123802.525,9791.575,270319.990,81 03 00 00 00 7F 1B EA,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,read holding registers start=0x0000 count=127 cells/info block,
