sequence_no,frame_count,start_us,end_us,duration_us,gap_from_previous_us,unique_can_ids,first_frame_no,last_frame_no
1,3,9220.650,139153.615,129932.965,,0x301 0x317 0x318,1,3
2,13,307381.305,1139150.530,831769.225,168227.690,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,4,16
3,13,1307380.210,2139142.935,831762.725,168229.680,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,17,29
4,13,2307372.615,3139134.595,831761.980,168229.680,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,30,42
5,13,3307364.275,4139131.750,831767.475,168229.680,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,43,55
6,10,4307357.435,4973118.715,665761.280,168225.685,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x319 0x320 0x322,56,65
