frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
20,ok,response,0x01,0x03,0x0071,16,32,true,781411695,789119986,3907058.475,3945599.930,38541.455,49456.360,01 03 20 0D 8E 0D 88 0D 8D 0D 8C 0D 8C 0D 8F 0D 8C 0D 8F 0D 90 0D 8E 0D 90 0D 92 0D 91 0D 8A 0D 8E 0D 8D 45 EA,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=16 min=3.464V#2 max=3.474V#12,
21,ok,request,0x01,0x03,0x0010,15,,true,850966035,852924349,4254830.175,4264621.745,9791.570,309230.245,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
22,ok,response,0x01,0x03,0x0010,15,30,true,862810917,870102547,4314054.585,4350512.735,36458.150,49432.840,01 03 1E 00 00 00 00 00 00 00 69 00 00 00 46 15 B0 00 00 00 1A 46 50 36 D8 4E 20 00 00 00 00 00 00 B0 35,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0069 mode=standby err=NO bal=ON master=standalone sp=none, prot=0x0000 (none), SOC=70%%, pack_v=55.52V, |pack_i|=0.00A, temp=26C",
23,ok,request,0x01,0x03,0x0020,11,,true,932173588,934131903,4660867.940,4670659.515,9791.575,310355.205,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
24,ok,exception,0x01,0x03,,,,true,944005707,945047373,4720028.535,4725236.865,5208.330,49369.020,01 83 01 80 F0,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK,exception func=0x03 code=0x01,
25,ok,request,0x01,0x03,0x0071,16,,true,1012956380,1014914694,5064781.900,5074573.470,9791.570,339545.035,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
26,ok,response,0x01,0x03,0x0071,16,32,true,1024809899,1032518192,5124049.495,5162590.960,38541.465,49476.025,01 03 20 0D 8E 0D 87 0D 8D 0D 8C 0D 8C 0D 8F 0D 8C 0D 8F 0D 90 0D 8E 0D 90 0D 92 0D 91 0D 8A 0D 8E 0D 8D 05 E1,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=16 min=3.463V#2 max=3.474V#12,
27,ok,request,0x01,0x03,0x0010,15,,true,1094356076,1096314391,5471780.380,5481571.955,9791.575,309189.420,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
28,ok,response,0x01,0x03,0x0010,15,30,true,1106300287,1113591918,5531501.435,5567959.590,36458.155,49929.480,01 03 1E 00 00 00 00 00 00 00 69 00 00 00 46 15 B0 00 00 00 1A 46 50 36 D8 4E 20 00 00 00 00 00 00 B0 35,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0069 mode=standby err=NO bal=ON master=standalone sp=none, prot=0x0000 (none), SOC=70%%, pack_v=55.52V, |pack_i|=0.00A, temp=26C",
29,ok,request,0x01,0x03,0x0020,11,,true,1175557120,1177515435,5877785.600,5887577.175,9791.575,309826.010,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
