sequence_no,frame_count,start_us,end_us,duration_us,gap_from_previous_us,unique_can_ids,first_frame_no,last_frame_no
95,1,15916428.275,15916659.675,231.400,125763.995,0x356,95,95
96,1,16042427.675,16042649.075,221.400,125768.000,0x35E,96,96
97,1,16168427.070,16168664.470,237.400,125777.995,0x35F,97,97
98,1,16546426.755,16546646.155,219.400,377762.285,0x35A,98,98
99,1,16674882.135,16675113.535,231.400,128235.980,0x351,99,99
100,1,16800425.535,16800656.935,231.400,125312.000,0x355,100,100
101,1,16926422.930,16926654.330,231.400,125765.995,0x356,101,101
102,1,17052420.325,17052641.725,221.400,125765.995,0x35E,102,102
103,1,17182727.690,17182965.090,237.400,130085.965,0x35F,103,103
104,1,17560415.380,17560634.780,219.400,377450.290,0x35A,104,104
105,1,17686420.780,17686652.180,231.400,125786.000,0x351,105,105
106,1,17812414.175,17812645.575,231.400,125761.995,0x355,106,106
107,1,17938415.570,17938646.970,231.400,125769.995,0x356,107,107
108,1,18064414.965,18064636.365,221.400,125767.995,0x35E,108,108
109,1,18190412.360,18190649.760,237.400,125775.995,0x35F,109,109
110,1,18568414.050,18568633.450,219.400,377764.290,0x35A,110,110
111,1,18694411.445,18694642.845,231.400,125777.995,0x351,111,111
112,1,18820412.845,18820644.245,231.400,125770.000,0x355,112,112
113,1,18946410.240,18946641.640,231.400,125765.995,0x356,113,113
114,1,19074867.620,19075089.020,221.400,128225.980,0x35E,114,114
115,1,19200405.020,19200642.420,237.400,125316.000,0x35F,115,115
116,1,19582714.685,19582934.085,219.400,382072.265,0x35A,116,116
117,1,19708406.080,19708637.480,231.400,125471.995,0x351,117,117
118,1,19834403.480,19834634.880,231.400,125766.000,0x355,118,118
119,1,19960402.875,19960634.275,231.400,125767.995,0x356,119,119
120,1,20086406.270,20086627.670,221.400,125771.995,0x35E,120,120
121,1,20212403.670,20212641.070,237.400,125776.000,0x35F,121,121
122,1,20590397.360,20590616.760,219.400,377756.290,0x35A,122,122
123,1,20716396.755,20716628.155,231.400,125779.995,0x351,123,123
124,1,20842394.150,20842625.550,231.400,125765.995,0x355,124,124
125,1,20968397.545,20968628.945,231.400,125771.995,0x356,125,125
126,1,21094394.940,21094616.340,221.400,125765.995,0x35E,126,126
127,1,21220392.340,21220629.740,237.400,125776.000,0x35F,127,127
128,1,21600392.015,21600611.415,219.400,379762.275,0x35A,128,128
129,1,21726389.410,21726620.810,231.400,125777.995,0x351,129,129
130,1,21852390.805,21852622.205,231.400,125769.995,0x355,130,130
131,1,21982700.175,21982931.575,231.400,130077.970,0x356,131,131
132,1,22108389.570,22108610.970,221.400,125457.995,0x35E,132,132
133,1,22234388.965,22234626.365,237.400,125777.995,0x35F,133,133
134,1,22612386.655,22612606.055,219.400,377760.290,0x35A,134,134
135,1,22738382.050,22738613.450,231.400,125775.995,0x351,135,135
136,1,22864383.445,22864614.845,231.400,125769.995,0x355,136,136
137,1,22990384.840,22990616.240,231.400,125769.995,0x356,137,137
138,1,23116380.235,23116601.635,221.400,125763.995,0x35E,138,138
139,1,23242381.630,23242619.030,237.400,125779.995,0x35F,139,139
140,1,23620375.320,23620594.720,219.400,377756.290,0x35A,140,140
141,1,23746376.715,23746608.115,231.400,125781.995,0x351,141,141
142,1,23874830.095,23875061.495,231.400,128221.980,0x355,142,142
143,1,24000375.495,24000606.895,231.400,125314.000,0x356,143,143
144,1,24126374.890,24126596.290,221.400,125767.995,0x35E,144,144
145,1,24252370.285,24252607.685,237.400,125773.995,0x35F,145,145
146,1,24634371.945,24634591.345,219.400,381764.260,0x35A,146,146
147,1,24760369.340,24760600.740,231.400,125777.995,0x351,147,147
148,1,24886366.735,24886598.135,231.400,125765.995,0x355,148,148
