frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
26,ok,response,0x01,0x03,0x000F,22,44,true,633999880,644208677,3169999.400,3221043.385,51043.985,4632.530,01 03 2C 0D F1 0D ED 0D EF 0D EE 0D F1 0D F2 0D F1 0D F1 0D F1 0D EF 0D EF 0D EF 0D F1 0D F3 0D F2 0D F2 01 3D 01 3A 01 39 01 40 01 29 01 3C CC 36,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.569V C02=3.565V C03=3.567V C04=3.566V C05=3.569V C06=3.570V C07=3.569V C08=3.569V C09=3.569V C10=3.567V C11=3.567V C12=3.567V C13=3.569V C14=3.571V C15=3.570V C16=3.570V min=3.565V#2 max=3.571V#14, temp1=31.7C, temp2=31.4C, temp3=31.3C, temp4=32.0C, mos_temp=29.7C, env_temp=31.6C",
27,ok,request,0x01,0x03,0x0000,13,,true,682308430,684266745,3411542.150,3421333.725,9791.575,190498.765,01 03 00 00 00 0D 84 0F,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
28,ok,response,0x01,0x03,0x0000,13,26,true,685210600,691669223,3426053.000,3458346.115,32293.115,4719.275,01 03 1A 00 00 16 4D 00 57 00 64 01 B0 01 F4 01 F4 00 00 00 00 00 00 00 00 0C 00 00 00 60 E0,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=+0.00A, pack_v=57.09V, SOC=87% raw=0x0057, SOH=100% raw=0x0064, remain=4.32Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0C00 (charge MOS, discharge MOS), balance=0x0000 (none)",
29,ok,request,0x01,0x03,0x000F,22,,true,733702170,735660485,3668510.850,3678302.425,9791.575,210164.735,01 03 00 0F 00 16 F4 07,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
30,ok,response,0x01,0x03,0x000F,22,44,true,736608830,746817628,3683044.150,3734088.140,51043.990,4741.725,01 03 2C 0D F1 0D EE 0D EF 0D EF 0D F2 0D F2 0D F1 0D F1 0D EF 0D EE 0D EE 0D EE 0D F1 0D F2 0D F2 0D F2 01 3E 01 3B 01 39 01 40 01 29 01 3C 77 E7,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.569V C02=3.566V C03=3.567V C04=3.567V C05=3.570V C06=3.570V C07=3.569V C08=3.569V C09=3.567V C10=3.566V C11=3.566V C12=3.566V C13=3.569V C14=3.570V C15=3.570V C16=3.570V min=3.566V#2 max=3.570V#5, temp1=31.8C, temp2=31.5C, temp3=31.3C, temp4=32.0C, mos_temp=29.7C, env_temp=31.6C",
31,ok,request,0x01,0x03,0x0000,13,,true,784734239,786692553,3923671.195,3933462.765,9791.570,189583.055,01 03 00 00 00 0D 84 0F,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
32,ok,response,0x01,0x03,0x0000,13,26,true,787611206,794069831,3938056.030,3970349.155,32293.125,4593.265,01 03 1A 00 00 16 4D 00 57 00 64 01 B0 01 F4 01 F4 00 00 00 00 00 00 00 00 0C 00 00 00 60 E0,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=+0.00A, pack_v=57.09V, SOC=87% raw=0x0057, SOH=100% raw=0x0064, remain=4.32Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0C00 (charge MOS, discharge MOS), balance=0x0000 (none)",
33,ok,request,0x01,0x03,0x000F,22,,true,836128398,838086713,4180641.990,4190433.565,9791.575,210292.835,01 03 00 0F 00 16 F4 07,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
34,ok,response,0x01,0x03,0x000F,22,44,true,839009437,849218237,4195047.185,4246091.185,51044.000,4613.620,01 03 2C 0D F1 0D ED 0D EF 0D F1 0D F2 0D F2 0D F1 0D EF 0D EF 0D EF 0D EE 0D EE 0D F1 0D F3 0D F2 0D F2 01 3E 01 3B 01 39 01 40 01 29 01 3C 87 BE,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.569V C02=3.565V C03=3.567V C04=3.569V C05=3.570V C06=3.570V C07=3.569V C08=3.567V C09=3.567V C10=3.567V C11=3.566V C12=3.566V C13=3.569V C14=3.571V C15=3.570V C16=3.570V min=3.565V#2 max=3.571V#14, temp1=31.8C, temp2=31.5C, temp3=31.3C, temp4=32.0C, mos_temp=29.7C, env_temp=31.6C",
35,ok,request,0x01,0x03,0x0000,13,,true,887107914,889066228,4435539.570,4445331.140,9791.570,189448.385,01 03 00 00 00 0D 84 0F,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
36,ok,response,0x01,0x03,0x0000,13,26,true,890011815,896470440,4450059.075,4482352.200,32293.125,4727.935,01 03 1A 00 00 16 4D 00 57 00 64 01 B0 01 F4 01 F4 00 00 00 00 00 00 00 00 0C 00 00 00 60 E0,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=+0.00A, pack_v=57.09V, SOC=87% raw=0x0057, SOH=100% raw=0x0064, remain=4.32Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0C00 (charge MOS, discharge MOS), balance=0x0000 (none)",
37,ok,request,0x01,0x03,0x000F,22,,true,938304441,940262756,4691522.205,4701313.780,9791.575,209170.005,01 03 00 0F 00 16 F4 07,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
38,ok,response,0x01,0x03,0x000F,22,44,true,941222536,951431335,4706112.680,4757156.675,51043.995,4798.900,01 03 2C 0D F1 0D ED 0D EF 0D F1 0D F2 0D F2 0D F1 0D EF 0D EF 0D EE 0D EF 0D EE 0D F1 0D F3 0D F2 0D F2 01 3E 01 3B 01 39 01 40 01 29 01 3C 1E DB,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.569V C02=3.565V C03=3.567V C04=3.569V C05=3.570V C06=3.570V C07=3.569V C08=3.567V C09=3.567V C10=3.566V C11=3.567V C12=3.566V C13=3.569V C14=3.571V C15=3.570V C16=3.570V min=3.565V#2 max=3.571V#14, temp1=31.8C, temp2=31.5C, temp3=31.3C, temp4=32.0C, mos_temp=29.7C, env_temp=31.6C",
39,ok,request,0x01,0x03,0x0000,13,,true,989305699,991264014,4946528.495,4956320.070,9791.575,189371.820,01 03 00 00 00 0D 84 0F,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
40,ok,response,0x01,0x03,0x0000,13,26,true,992224914,998683538,4961124.570,4993417.690,32293.120,4804.500,01 03 1A 00 00 16 4D 00 57 00 64 01 B0 01 F4 01 F4 00 00 00 00 00 00 00 00 0C 00 00 00 60 E0,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=+0.00A, pack_v=57.09V, SOC=87% raw=0x0057, SOH=100% raw=0x0064, remain=4.32Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0C00 (charge MOS, discharge MOS), balance=0x0000 (none)",
41,ok,request,0x01,0x03,0x000F,22,,true,1040701855,1042660169,5203509.275,5213300.845,9791.570,210091.585,01 03 00 0F 00 16 F4 07,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
42,ok,response,0x01,0x03,0x000F,22,44,true,1043623144,1053831942,5218115.720,5269159.710,51043.990,4814.875,01 03 2C 0D F1 0D EE 0D EF 0D F1 0D F2 0D F2 0D F1 0D F1 0D F1 0D EF 0D EE 0D EE 0D F1 0D F2 0D F2 0D F2 01 3D 01 3B 01 39 01 40 01 29 01 3C 53 CD,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.569V C02=3.566V C03=3.567V C04=3.569V C05=3.570V C06=3.570V C07=3.569V C08=3.569V C09=3.569V C10=3.567V C11=3.566V C12=3.566V C13=3.569V C14=3.570V C15=3.570V C16=3.570V min=3.566V#2 max=3.570V#5, temp1=31.7C, temp2=31.5C, temp3=31.3C, temp4=32.0C, mos_temp=29.7C, env_temp=31.6C",
43,ok,request,0x01,0x03,0x0000,13,,true,1091718975,1093677289,5458594.875,5468386.445,9791.570,189435.165,01 03 00 00 00 0D 84 0F,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
44,ok,response,0x01,0x03,0x0000,13,26,true,1094708859,1101167483,5473544.295,5505837.415,32293.120,5157.850,01 03 1A 00 00 16 4D 00 57 00 64 01 B0 01 F4 01 F4 00 00 00 00 00 00 00 00 0C 00 00 00 60 E0,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=+0.00A, pack_v=57.09V, SOC=87% raw=0x0057, SOH=100% raw=0x0064, remain=4.32Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0C00 (charge MOS, discharge MOS), balance=0x0000 (none)",
45,ok,request,0x01,0x03,0x000F,22,,true,1143114214,1145072529,5715571.070,5725362.645,9791.575,209733.655,01 03 00 0F 00 16 F4 07,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
46,ok,response,0x01,0x03,0x000F,22,44,true,1146023751,1156232551,5730118.755,5781162.755,51044.000,4756.110,01 03 2C 0D F1 0D ED 0D EF 0D F1 0D F2 0D F2 0D F1 0D F1 0D EF 0D EF 0D EF 0D EE 0D F1 0D F2 0D F2 0D F2 01 3D 01 3B 01 39 01 40 01 29 01 3C 94 E0,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.569V C02=3.565V C03=3.567V C04=3.569V C05=3.570V C06=3.570V C07=3.569V C08=3.569V C09=3.567V C10=3.567V C11=3.567V C12=3.566V C13=3.569V C14=3.570V C15=3.570V C16=3.570V min=3.565V#2 max=3.570V#5, temp1=31.7C, temp2=31.5C, temp3=31.3C, temp4=32.0C, mos_temp=29.7C, env_temp=31.6C",
47,ok,request,0x01,0x03,0x0000,13,,true,1194125680,1196083995,5970628.400,5980419.975,9791.575,189465.645,01 03 00 00 00 0D 84 0F,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
48,ok,response,0x01,0x03,0x0000,13,26,true,1197026130,1203484754,5985130.650,6017423.770,32293.120,4710.675,01 03 1A 00 00 16 4D 00 57 00 64 01 B0 01 F4 01 F4 00 00 00 00 00 00 00 00 0C 00 00 00 60 E0,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=+0.00A, pack_v=57.09V, SOC=87% raw=0x0057, SOH=100% raw=0x0064, remain=4.32Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0C00 (charge MOS, discharge MOS), balance=0x0000 (none)",
49,ok,request,0x01,0x03,0x000F,22,,true,1245507923,1247466237,6227539.615,6237331.185,9791.570,210115.845,01 03 00 0F 00 16 F4 07,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
