frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
62,ok,standard,0x318,data,8,941717191,941761871,4708585.955,4708809.355,223.400,82778.340,0D 92 0D 8C 0D 8F 0D 8F,Growatt CAN 0x318 cell group 4 DLC=8 [0D 92 0D 8C 0D 8F 0D 8F],0x318 cells C13=3.474V C14=3.468V C15=3.471V C16=3.471V,
63,ok,standard,0x311,data,8,974917038,974962518,4874585.190,4874812.590,227.400,165775.835,02 40 07 08 07 08 00 69,Growatt CAN 0x311 status/limits DLC=8 [02 40 07 08 07 08 00 69],0x311 limits chgV=57.6V chgI=180.0A disI=180.0A status_tail=0x0069,
64,ok,standard,0x301,data,8,983352665,983396945,4916763.325,4916984.725,221.400,41950.735,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
65,ok,standard,0x312,data,8,992007833,992056113,4960039.165,4960280.565,241.400,43054.440,00 00 00 00 01 00 00 10,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 10],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
66,ok,standard,0x313,data,8,1008517382,1008562862,5042586.910,5042814.310,227.400,82306.345,15 B2 00 00 01 0B 46 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [15 B2 00 00 01 0B 46 64],0x313 pack V=55.54V I=+0.0A Tavg=26.7C SOC=70%% SOH=100%% lifeWarn=0,
67,ok,standard,0x314,data,8,1025117330,1025164010,5125586.650,5125820.050,233.400,82772.340,36 D8 71 48 00 0A 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [36 D8 71 48 00 0A 00 00],0x314 RM=140.40Ah FCC=290.00Ah dV=10mV cycles=0,
68,ok,standard,0x319,data,8,1041716878,1041761958,5208584.390,5208809.790,225.400,82764.340,C1 0D 93 0D 89 01 01 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C1 0D 93 0D 89 01 01 00],0x319 cell_max=3.475V#1 cell_min=3.465V#1 dV=10mV flags=0xC1 chem=Ternary chgEn=0 disEn=0,
69,ok,standard,0x320,data,8,1058316426,1058363106,5291582.130,5291815.530,233.400,82772.340,47 54 0A 0A 00 00 00 00,Growatt CAN 0x320 maker/software DLC=8 [47 54 0A 0A 00 00 00 00],0x320 maker='GT' hw=0x0A swL=0x0A swHext=0x00 compat=0x00 ext=0x00,
70,ok,standard,0x322,data,8,1074916374,1074961854,5374581.870,5374809.270,227.400,82766.340,01 0B 01 04 01 01 46 46,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 0B 01 04 01 01 46 46],0x322 Tmax=26.7C#1 Tmin=26.0C#1 SOCmax=70%% SOCmin=70%%,
71,ok,standard,0x301,data,8,1085362006,1085406286,5426810.030,5427031.430,221.400,52000.760,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
72,ok,standard,0x315,data,8,1092007170,1092051050,5460035.850,5460255.250,219.400,33004.420,0D 90 0D 89 0D 8F 0D 8E,Growatt CAN 0x315 cell group 1 DLC=8 [0D 90 0D 89 0D 8F 0D 8E],0x315 cells C01=3.472V C02=3.465V C03=3.471V C04=3.470V,
73,ok,standard,0x316,data,8,1108517119,1108561799,5542585.595,5542808.995,223.400,82330.345,0D 8E 0D 90 0D 8E 0D 91,Growatt CAN 0x316 cell group 2 DLC=8 [0D 8E 0D 90 0D 8E 0D 91],0x316 cells C05=3.470V C06=3.472V C07=3.470V C08=3.473V,
74,ok,standard,0x317,data,8,1125115865,1125160545,5625579.325,5625802.725,223.400,82770.330,0D 92 0D 90 0D 91 0D 93,Growatt CAN 0x317 cell group 3 DLC=8 [0D 92 0D 90 0D 91 0D 93],0x317 cells C09=3.474V C10=3.472V C11=3.473V C12=3.475V,
75,ok,standard,0x318,data,8,1141717015,1141761695,5708585.075,5708808.475,223.400,82782.350,0D 92 0D 8C 0D 8F 0D 8F,Growatt CAN 0x318 cell group 4 DLC=8 [0D 92 0D 8C 0D 8F 0D 8F],0x318 cells C13=3.474V C14=3.468V C15=3.471V C16=3.471V,
76,ok,standard,0x311,data,8,1174915261,1174960741,5874576.305,5874803.705,227.400,165767.830,02 40 07 08 07 08 00 69,Growatt CAN 0x311 status/limits DLC=8 [02 40 07 08 07 08 00 69],0x311 limits chgV=57.6V chgI=180.0A disI=180.0A status_tail=0x0069,
77,ok,standard,0x301,data,8,1187373687,1187417967,5936868.435,5937089.835,221.400,62064.730,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
78,ok,standard,0x312,data,8,1192007306,1192055586,5960036.530,5960277.930,241.400,22946.695,00 00 00 00 01 00 00 10,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 10],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
79,ok,standard,0x313,data,8,1208515255,1208560735,6042576.275,6042803.675,227.400,82298.345,15 B2 00 00 01 0B 46 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [15 B2 00 00 01 0B 46 64],0x313 pack V=55.54V I=+0.0A Tavg=26.7C SOC=70%% SOH=100%% lifeWarn=0,
80,ok,standard,0x314,data,8,1225115603,1225162283,6125578.015,6125811.415,233.400,82774.340,36 D8 71 48 00 0A 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [36 D8 71 48 00 0A 00 00],0x314 RM=140.40Ah FCC=290.00Ah dV=10mV cycles=0,
81,ok,standard,0x319,data,8,1241715952,1241761032,6208579.760,6208805.160,225.400,82768.345,C1 0D 93 0D 89 01 01 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C1 0D 93 0D 89 01 01 00],0x319 cell_max=3.475V#1 cell_min=3.465V#1 dV=10mV flags=0xC1 chem=Ternary chgEn=0 disEn=0,
82,ok,standard,0x320,data,8,1258315100,1258361780,6291575.500,6291808.900,233.400,82770.340,47 54 0A 0A 00 00 00 00,Growatt CAN 0x320 maker/software DLC=8 [47 54 0A 0A 00 00 00 00],0x320 maker='GT' hw=0x0A swL=0x0A swHext=0x00 compat=0x00 ext=0x00,
83,ok,standard,0x322,data,8,1274915048,1274960528,6374575.240,6374802.640,227.400,82766.340,01 0B 01 04 01 01 46 46,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 0B 01 04 01 01 46 46],0x322 Tmax=26.7C#1 Tmin=26.0C#1 SOCmax=70%% SOCmin=70%%,
84,ok,standard,0x301,data,8,1289401072,1289445352,6447005.360,6447226.760,221.400,72202.720,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
85,ok,standard,0x315,data,8,1292005893,1292049773,6460029.465,6460248.865,219.400,12802.705,0D 90 0D 89 0D 8F 0D 8E,Growatt CAN 0x315 cell group 1 DLC=8 [0D 90 0D 89 0D 8F 0D 8E],0x315 cells C01=3.472V C02=3.465V C03=3.471V C04=3.470V,
86,ok,standard,0x316,data,8,1308515042,1308559722,6542575.210,6542798.610,223.400,82326.345,0D 8E 0D 90 0D 8E 0D 91,Growatt CAN 0x316 cell group 2 DLC=8 [0D 8E 0D 90 0D 8E 0D 91],0x316 cells C05=3.470V C06=3.472V C07=3.470V C08=3.473V,
87,ok,standard,0x317,data,8,1325115390,1325160070,6625576.950,6625800.350,223.400,82778.340,0D 92 0D 90 0D 91 0D 93,Growatt CAN 0x317 cell group 3 DLC=8 [0D 92 0D 90 0D 91 0D 93],0x317 cells C09=3.474V C10=3.472V C11=3.473V C12=3.475V,
88,ok,standard,0x318,data,8,1341715338,1341760018,6708576.690,6708800.090,223.400,82776.340,0D 92 0D 8C 0D 8F 0D 8F,Growatt CAN 0x318 cell group 4 DLC=8 [0D 92 0D 8C 0D 8F 0D 8F],0x318 cells C13=3.474V C14=3.468V C15=3.471V C16=3.471V,
89,ok,standard,0x311,data,8,1374914384,1374959864,6874571.920,6874799.320,227.400,165771.830,02 40 07 08 07 08 00 69,Growatt CAN 0x311 status/limits DLC=8 [02 40 07 08 07 08 00 69],0x311 limits chgV=57.6V chgI=180.0A disI=180.0A status_tail=0x0069,
90,ok,standard,0x301,data,8,1391321609,1391365889,6956608.045,6956829.445,221.400,81808.725,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
91,ok,standard,0x312,data,8,1392005229,1392053509,6960026.145,6960267.545,241.400,3196.700,00 00 00 00 01 00 00 10,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 10],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
92,ok,standard,0x313,data,8,1408514778,1408560258,7042573.890,7042801.290,227.400,82306.345,15 B2 00 00 01 0B 46 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [15 B2 00 00 01 0B 46 64],0x313 pack V=55.54V I=+0.0A Tavg=26.7C SOC=70%% SOH=100%% lifeWarn=0,
93,ok,standard,0x314,data,8,1425114726,1425161406,7125573.630,7125807.030,233.400,82772.340,36 D8 71 48 00 0A 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [36 D8 71 48 00 0A 00 00],0x314 RM=140.40Ah FCC=290.00Ah dV=10mV cycles=0,
94,ok,standard,0x319,data,8,1441714674,1441759754,7208573.370,7208798.770,225.400,82766.340,C1 0D 93 0D 89 01 01 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C1 0D 93 0D 89 01 01 00],0x319 cell_max=3.475V#1 cell_min=3.465V#1 dV=10mV flags=0xC1 chem=Ternary chgEn=0 disEn=0,
95,ok,standard,0x320,data,8,1458313822,1458360502,7291569.110,7291802.510,233.400,82770.340,47 54 0A 0A 00 00 00 00,Growatt CAN 0x320 maker/software DLC=8 [47 54 0A 0A 00 00 00 00],0x320 maker='GT' hw=0x0A swL=0x0A swHext=0x00 compat=0x00 ext=0x00,
96,ok,standard,0x322,data,8,1474914170,1474959650,7374570.850,7374798.250,227.400,82768.340,01 0B 01 04 01 01 46 46,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 0B 01 04 01 01 46 46],0x322 Tmax=26.7C#1 Tmin=26.0C#1 SOCmax=70%% SOCmin=70%%,
97,ok,standard,0x315,data,8,1492005316,1492049196,7460026.580,7460245.980,219.400,85228.330,0D 90 0D 89 0D 8F 0D 8E,Growatt CAN 0x315 cell group 1 DLC=8 [0D 90 0D 89 0D 8F 0D 8E],0x315 cells C01=3.472V C02=3.465V C03=3.471V C04=3.470V,
98,ok,standard,0x301,data,8,1493327350,1493371630,7466636.750,7466858.150,221.400,6390.770,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
99,ok,standard,0x316,data,8,1508513664,1508558344,7542568.320,7542791.720,223.400,75710.170,0D 8E 0D 90 0D 8E 0D 91,Growatt CAN 0x316 cell group 2 DLC=8 [0D 8E 0D 90 0D 8E 0D 91],0x316 cells C05=3.470V C06=3.472V C07=3.470V C08=3.473V,
100,ok,standard,0x317,data,8,1525114012,1525158692,7625570.060,7625793.460,223.400,82778.340,0D 92 0D 90 0D 91 0D 93,Growatt CAN 0x317 cell group 3 DLC=8 [0D 92 0D 90 0D 91 0D 93],0x317 cells C09=3.474V C10=3.472V C11=3.473V C12=3.475V,
101,ok,standard,0x318,data,8,1541713560,1541758240,7708567.800,7708791.200,223.400,82774.340,0D 92 0D 8C 0D 8F 0D 8F,Growatt CAN 0x318 cell group 4 DLC=8 [0D 92 0D 8C 0D 8F 0D 8F],0x318 cells C13=3.474V C14=3.468V C15=3.471V C16=3.471V,
