frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
283,ok,standard,0x4F4,data,8,1641063899,1641156459,8205319.495,8205782.295,462.800,529.275,F5 0D 01 F3 0D 06 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F3 0D 06 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.571V#6 dV=2mV,
284,ok,standard,0x2F4,data,8,1660883961,1660977321,8304419.805,8304886.605,466.800,98637.510,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
285,ok,standard,0x4F4,data,8,1661075977,1661169337,8305379.885,8305846.685,466.800,493.280,F5 0D 01 F2 0D 06 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 06 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#6 dV=3mV,
286,ok,extended,0x18F128F4,data,8,1661265587,1661374947,8306327.935,8306874.735,546.800,481.250,8B 01 90 01 5A 00 00 00,JKBMS CAN 0x18F128F4 capacity/cycles node=0 DLC=8 [8B 01 90 01 5A 00 00 00],0x18F128F0 capacity remain=39.5Ah rated=40.0Ah reserved=0x005A cycles=0,
287,ok,standard,0x2F4,data,8,1680866437,1680959797,8404332.185,8404798.985,466.800,97457.450,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
288,ok,standard,0x4F4,data,8,1681069642,1681163002,8405348.210,8405815.010,466.800,549.225,F5 0D 01 F2 0D 06 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 06 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#6 dV=3mV,
289,ok,extended,0x18F528F4,data,8,1681360857,1681474217,8406804.285,8407371.085,566.800,989.275,23 00 00 00 00 00 00 00,JKBMS CAN 0x18F528F4 BMS status raw node=0 DLC=8 [23 00 00 00 00 00 00 00],0x18F528F0 BMS status raw raw=23 00 00 00 00 00 00 00,
290,ok,extended,0x1806E5F4,data,8,1681477728,1681589488,8407388.640,8407947.440,558.800,17.555,02 9E 01 7C 20 00 00 00,JKBMS CAN 0x1806E5F4 charge limits node=0 DLC=8 [02 9E 01 7C 20 00 00 00],0x1806E5F0 charge info V=4045.0V I=3174.5A raw=02 9E 01 7C 20 00 00 00,
291,ok,standard,0x2F4,data,8,1700878575,1700971935,8504392.875,8504859.675,466.800,96445.435,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
292,ok,standard,0x4F4,data,8,1701066587,1701159947,8505332.935,8505799.735,466.800,473.260,F5 0D 01 F2 0D 06 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 06 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#6 dV=3mV,
