frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
31,ok,request,0x01,0x03,0x1220,16,,true,812552804,812715998,4062764.020,4063579.990,815.970,246265.905,01 03 12 20 00 10 40 B4,JKBMS Modbus req slave=0x01 func=0x03 start=0x1220 count=16 crc=OK,read holding registers start=0x1220 count=16 poll-block,
32,ok,response,0x01,0x03,0x1220,16,32,true,813660448,814301835,4068302.240,4071509.175,3206.935,4722.250,01 03 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 92 7A,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1220..0x122F bytes=32 crc=OK,response regs 0x1220..0x122F: regs 0x1220..0x122F,
33,ok,request,0x01,0x03,0x1230,16,,true,863502211,863665404,4317511.055,4318327.020,815.965,246001.880,01 03 12 30 00 10 41 71,JKBMS Modbus req slave=0x01 func=0x03 start=0x1230 count=16 crc=OK,read holding registers start=0x1230 count=16 poll-block,
34,ok,response,0x01,0x03,0x1230,16,32,true,864674793,865316182,4323373.965,4326580.910,3206.945,5046.945,01 03 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF FF 0D F8 00 02 00 03 00 45 00 42 00 45 7B 83,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1230..0x123F bytes=32 crc=OK,response regs 0x1230..0x123F: cells stride2 count=1 C30=3.576V min=3.576V#30 max=3.576V#30,
35,ok,request,0x01,0x03,0x1240,32,,true,914549576,914712769,4572747.880,4573563.845,815.965,246166.970,01 03 12 40 00 20 40 BE,JKBMS Modbus req slave=0x01 func=0x03 start=0x1240 count=32 crc=OK,read holding registers start=0x1240 count=32 poll-block,
36,ok,response,0x01,0x03,0x1240,32,64,true,915664873,916860953,4578324.365,4584304.765,5980.400,4760.520,01 03 40 00 00 FF FF 0D F8 00 02 00 03 00 45 00 42 00 45 00 42 00 4A 00 47 00 50 00 4C 00 47 00 43 00 47 00 4C 00 56 00 5A 00 7D 00 66 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 41,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1240..0x125F bytes=64 crc=OK,"response regs 0x1240..0x125F: cell_avg=raw0x0003, cell_diff=66mV, cell_idx raw=0x0042",
37,ok,request,0x01,0x03,0x1244,6,,true,966161189,966324382,4830805.945,4831621.910,815.965,246501.180,01 03 12 44 00 06 80 A5,JKBMS Modbus req slave=0x01 func=0x03 start=0x1244 count=6 crc=OK,read holding registers start=0x1244 count=6 poll-block,
38,ok,response,0x01,0x03,0x1244,6,12,true,967277248,967571956,4836386.240,4837859.780,1473.540,4764.330,01 03 0C 0D F8 00 02 00 03 00 45 00 42 00 45 D1 88,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1244..0x1249 bytes=12 crc=OK,"response regs 0x1244..0x1249: cell_avg=3.576V, cell_diff=3mV, cell_idx raw=0x0042",
39,ok,request,0x01,0x03,0x128A,40,,true,1016721665,1016884858,5083608.325,5084424.290,815.965,245748.545,01 03 12 8A 00 28 61 46,JKBMS Modbus req slave=0x01 func=0x03 start=0x128A count=40 crc=OK,read holding registers start=0x128A count=40 poll-block,
40,ok,response,0x01,0x03,0x128A,40,80,true,1017868643,1019342071,5089343.215,5096710.355,7367.140,4918.925,01 03 50 01 25 00 00 00 00 00 00 DF 7F 00 00 00 00 00 00 00 00 01 32 01 2F 00 08 00 00 00 00 00 63 00 00 9A 34 00 00 9C 40 00 00 00 00 00 00 23 32 64 00 00 00 00 0E CB 08 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF 00 01 00 00 00 03 BD 00 00 31 2D,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x128A..0x12B1 bytes=80 crc=OK,"response regs 0x128A..0x12B1: pack_i=+0.099A, MOS=29.3C, alarm_candidate=0x23326400, full=65.28Ah, cycles=957",
