frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
24,ok,response,0x01,0x03,0x000F,22,44,true,590399423,600608221,2951997.115,3003041.105,51043.990,4966.025,01 03 2C 0D AE 0D A8 0D AD 0D AA 0D AC 0D AC 0D A9 0D AA 0D AA 0D AA 0D AA 0D AA 0D AC 0D AC 0D AC 0D AC 01 36 01 33 01 32 01 38 01 20 01 35 6B C1,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.502V C02=3.496V C03=3.501V C04=3.498V C05=3.500V C06=3.500V C07=3.497V C08=3.498V C09=3.498V C10=3.498V C11=3.498V C12=3.498V C13=3.500V C14=3.500V C15=3.500V C16=3.500V min=3.496V#2 max=3.502V#1, temp1=31.0C, temp2=30.7C, temp3=30.6C, temp4=31.2C, mos_temp=28.8C, env_temp=30.9C",
25,ok,request,0x01,0x03,0x0000,13,,true,637476024,639434339,3187380.120,3197171.695,9791.575,184339.015,01 03 00 00 00 0D 84 0F,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
26,ok,response,0x01,0x03,0x0000,13,26,true,640401742,646860366,3202008.710,3234301.830,32293.120,4837.015,01 03 1A FF B4 15 DD 00 59 00 64 01 BE 01 F4 01 F4 00 00 00 00 00 00 00 00 0E 00 00 00 CA B2,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=-0.76A, pack_v=55.97V, SOC=89% raw=0x0059, SOH=100% raw=0x0064, remain=4.46Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0E00 (discharge, charge MOS, discharge MOS), balance=0x0000 (none)",
27,ok,request,0x01,0x03,0x000F,22,,true,687468086,689426400,3437340.430,3447132.000,9791.570,203038.600,01 03 00 0F 00 16 F4 07,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
28,ok,response,0x01,0x03,0x000F,22,44,true,690404062,700612858,3452020.310,3503064.290,51043.980,4888.310,01 03 2C 0D AE 0D A8 0D AC 0D AC 0D AC 0D AC 0D A9 0D AA 0D AA 0D AA 0D AA 0D AA 0D AC 0D AC 0D AA 0D AC 01 36 01 33 01 32 01 38 01 20 01 35 A8 CF,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.502V C02=3.496V C03=3.500V C04=3.500V C05=3.500V C06=3.500V C07=3.497V C08=3.498V C09=3.498V C10=3.498V C11=3.498V C12=3.498V C13=3.500V C14=3.500V C15=3.498V C16=3.500V min=3.496V#2 max=3.502V#1, temp1=31.0C, temp2=30.7C, temp3=30.6C, temp4=31.2C, mos_temp=28.8C, env_temp=30.9C",
29,ok,request,0x01,0x03,0x0000,13,,true,739454382,741412697,3697271.910,3707063.485,9791.575,194207.620,01 03 00 00 00 0D 84 0F,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
30,ok,response,0x01,0x03,0x0000,13,26,true,742427306,748885930,3712136.530,3744429.650,32293.120,5073.045,01 03 1A FF B4 15 DE 00 59 00 64 01 BE 01 F4 01 F4 00 00 00 00 00 00 00 00 0E 00 00 00 9E 57,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=-0.76A, pack_v=55.98V, SOC=89% raw=0x0059, SOH=100% raw=0x0064, remain=4.46Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0E00 (discharge, charge MOS, discharge MOS), balance=0x0000 (none)",
31,ok,request,0x01,0x03,0x000F,22,,true,789491684,791449999,3947458.420,3957249.995,9791.575,203028.770,01 03 00 0F 00 16 F4 07,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
32,ok,response,0x01,0x03,0x000F,22,44,true,792408791,802617588,3962043.955,4013087.940,51043.985,4793.960,01 03 2C 0D AE 0D A8 0D AC 0D AA 0D AC 0D AC 0D A9 0D AA 0D AA 0D AA 0D AA 0D AA 0D AC 0D AC 0D AA 0D AC 01 36 01 33 01 32 01 38 01 20 01 35 E5 6F,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.502V C02=3.496V C03=3.500V C04=3.498V C05=3.500V C06=3.500V C07=3.497V C08=3.498V C09=3.498V C10=3.498V C11=3.498V C12=3.498V C13=3.500V C14=3.500V C15=3.498V C16=3.500V min=3.496V#2 max=3.502V#1, temp1=31.0C, temp2=30.7C, temp3=30.6C, temp4=31.2C, mos_temp=28.8C, env_temp=30.9C",
33,ok,request,0x01,0x03,0x0000,13,,true,839463991,841422305,4197319.955,4207111.525,9791.570,184232.015,01 03 00 00 00 0D 84 0F,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
