frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
419,ok,standard,0x322,data,8,1610161681,1610207561,8050808.405,8051037.805,229.400,19705.895,01 3B 00 00 02 04 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 02 04 56 56],0x322 Tmax=31.5C#2 Tmin=0.0C#4 SOCmax=86%% SOCmin=86%%,
420,ok,standard,0x323,data,8,1614162265,1614210945,8070811.325,8071054.725,243.400,19773.520,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
421,ok,standard,0x311,data,8,1618178113,1618223993,8090890.565,8091119.965,229.400,19835.840,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
422,ok,standard,0x312,data,8,1622163570,1622211850,8110817.850,8111059.250,241.400,19697.885,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
423,ok,standard,0x313,data,8,1626181818,1626227298,8130909.090,8131136.490,227.400,19849.840,16 4C 00 00 01 3C 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4C 00 00 01 3C 56 64],0x313 pack V=57.08V I=+0.0A Tavg=31.6C SOC=86%% SOH=100%% lifeWarn=0,
424,ok,standard,0x314,data,8,1630170477,1630217957,8150852.385,8151089.785,237.400,19715.895,01 AE 01 F4 00 04 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 04 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=4mV cycles=0,
425,ok,standard,0x319,data,8,1634163126,1634208606,8170815.630,8171043.030,227.400,19725.845,C0 0D F1 0D ED 01 02 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F1 0D ED 01 02 00],0x319 cell_max=3.569V#1 cell_min=3.565V#2 dV=4mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
426,ok,standard,0x320,data,8,1638162974,1638207654,8190814.870,8191038.270,223.400,19771.840,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
427,ok,standard,0x301,data,8,1639873012,1639917292,8199365.060,8199586.460,221.400,8326.790,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
428,ok,standard,0x321,data,8,1642171893,1642220173,8210859.465,8211100.865,241.400,11273.005,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
429,ok,standard,0x322,data,8,1646183747,1646229627,8230918.735,8231148.135,229.400,19817.870,01 3B 00 00 02 04 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 02 04 56 56],0x322 Tmax=31.5C#2 Tmin=0.0C#4 SOCmax=86%% SOCmin=86%%,
430,ok,standard,0x323,data,8,1650163998,1650212678,8250819.990,8251063.390,243.400,19671.855,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
431,ok,standard,0x311,data,8,1654244989,1654290869,8271224.945,8271454.345,229.400,20161.555,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
432,ok,standard,0x312,data,8,1658165237,1658213517,8290826.185,8291067.585,241.400,19371.840,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
433,ok,standard,0x313,data,8,1662164293,1662209773,8310821.465,8311048.865,227.400,19753.880,16 4C 00 00 01 3C 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4C 00 00 01 3C 56 64],0x313 pack V=57.08V I=+0.0A Tavg=31.6C SOC=86%% SOH=100%% lifeWarn=0,
434,ok,standard,0x314,data,8,1666183741,1666231221,8330918.705,8331156.105,237.400,19869.840,01 AE 01 F4 00 04 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 04 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=4mV cycles=0,
435,ok,standard,0x319,data,8,1670183194,1670228674,8350915.970,8351143.370,227.400,19759.865,C0 0D F1 0D ED 01 02 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F1 0D ED 01 02 00],0x319 cell_max=3.569V#1 cell_min=3.565V#2 dV=4mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
436,ok,standard,0x320,data,8,1674173853,1674218533,8370869.265,8371092.665,223.400,19725.895,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
437,ok,standard,0x321,data,8,1678164831,1678213111,8390824.155,8391065.555,241.400,19731.490,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
438,ok,standard,0x322,data,8,1682165084,1682210964,8410825.420,8411054.820,229.400,19759.865,01 3B 00 00 02 04 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 02 04 56 56],0x322 Tmax=31.5C#2 Tmin=0.0C#4 SOCmax=86%% SOCmin=86%%,
439,ok,standard,0x323,data,8,1686176876,1686225556,8430884.380,8431127.780,243.400,19829.560,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
440,ok,standard,0x311,data,8,1690177128,1690223008,8450885.640,8451115.040,229.400,19757.860,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
441,ok,standard,0x312,data,8,1694174176,1694222456,8470870.880,8471112.280,241.400,19755.840,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
442,ok,standard,0x313,data,8,1698245640,1698290720,8491228.200,8491453.600,225.400,20115.920,16 4B 00 00 01 3C 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4B 00 00 01 3C 56 64],0x313 pack V=57.07V I=+0.0A Tavg=31.6C SOC=86%% SOH=100%% lifeWarn=0,
443,ok,standard,0x314,data,8,1702166279,1702213759,8510831.395,8511068.795,237.400,19377.795,01 AE 01 F4 00 04 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 04 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=4mV cycles=0,
