frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
18,ok,response,0x01,0x03,0x0010,15,30,true,682123981,689415977,3410619.905,3447079.885,36459.980,4942.080,01 03 1E 00 00 00 00 00 00 04 69 00 00 00 56 16 4C 00 00 00 1F 0E D8 01 B0 01 F4 01 01 00 00 00 00 8A 9B,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0469 mode=standby err=NO bal=ON master=standalone sp=standby, prot=0x0000 (none), SOC=86%%, pack_v=57.08V, |pack_i|=0.00A, temp=31C",
19,ok,request,0x01,0x03,0x0020,11,,true,759361524,761319839,3796807.620,3806599.195,9791.575,349727.735,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
20,ok,response,0x01,0x03,0x0020,11,22,true,762315215,767940467,3811576.075,3839702.335,28126.260,4976.880,01 03 16 00 64 16 80 00 00 4A 38 00 00 0D F2 0D EE 00 01 00 04 00 00 00 00 70 19,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK,"response regs 0x0020..0x002A: SOH=100%%, chg_v_target=57.60V, warn=0x0000 (none), dis_lim=190.00A, ext_err=0x0000, cell_max=3.570V",
21,ok,request,0x01,0x03,0x0071,16,,true,839971010,841929325,4199855.050,4209646.625,9791.575,360152.715,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
22,ok,response,0x01,0x03,0x0071,16,32,true,842923136,850631819,4214615.680,4253159.095,38543.415,4969.055,01 03 20 0D ED 0D EF 0D EE 0D F1 0D F1 0D EF 0D EF 0D F1 0D EE 0D EF 0D EF 0D F1 0D F2 0D F1 0D F1 00 00 A7 71,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=15 min=3.565V#1 max=3.570V#13,
23,ok,request,0x01,0x03,0x0010,15,,true,920575561,922533876,4602877.805,4612669.380,9791.575,349718.710,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
24,ok,response,0x01,0x03,0x0010,15,30,true,923531057,930823053,4617655.285,4654115.265,36459.980,4985.905,01 03 1E 00 00 00 00 00 00 04 69 00 00 00 56 16 4C 00 00 00 1F 0E D8 01 B0 01 F4 01 01 00 00 00 00 8A 9B,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0469 mode=standby err=NO bal=ON master=standalone sp=standby, prot=0x0000 (none), SOC=86%%, pack_v=57.08V, |pack_i|=0.00A, temp=31C",
25,ok,request,0x01,0x03,0x0020,11,,true,1000777520,1002735835,5003887.600,5013679.175,9791.575,349772.335,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
26,ok,response,0x01,0x03,0x0020,11,22,true,1003743127,1009368377,5018715.635,5046841.885,28126.250,5036.460,01 03 16 00 64 16 80 00 00 4A 38 00 00 0D F2 0D F1 00 01 00 04 00 00 00 00 FC 29,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK,"response regs 0x0020..0x002A: SOH=100%%, chg_v_target=57.60V, warn=0x0000 (none), dis_lim=190.00A, ext_err=0x0000, cell_max=3.570V",
27,ok,request,0x01,0x03,0x0071,16,,true,1081353638,1083311953,5406768.190,5416559.765,9791.575,359926.305,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
28,ok,response,0x01,0x03,0x0071,16,32,true,1084330213,1092038893,5421651.065,5460194.465,38543.400,5091.300,01 03 20 0D ED 0D EE 0D EE 0D F1 0D F1 0D EE 0D EE 0D EE 0D EE 0D EE 0D EE 0D F1 0D F2 0D F1 0D F1 00 00 74 16,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=15 min=3.565V#1 max=3.570V#13,
29,ok,request,0x01,0x03,0x0010,15,,true,1161952857,1163911172,5809764.285,5819555.860,9791.575,349569.820,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
30,ok,response,0x01,0x03,0x0010,15,30,true,1164938133,1172230130,5824690.665,5861150.650,36459.985,5134.805,01 03 1E 00 00 00 00 00 00 04 69 00 00 00 56 16 4C 00 00 00 1F 0E D8 01 B0 01 F4 01 01 00 00 00 00 8A 9B,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0469 mode=standby err=NO bal=ON master=standalone sp=standby, prot=0x0000 (none), SOC=86%%, pack_v=57.08V, |pack_i|=0.00A, temp=31C",
31,ok,request,0x01,0x03,0x0020,11,,true,1242149356,1244107670,6210746.780,6220538.350,9791.570,349596.130,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
32,ok,response,0x01,0x03,0x0020,11,22,true,1245150203,1250775454,6225751.015,6253877.270,28126.255,5212.665,01 03 16 00 64 16 80 00 00 4A 38 00 00 0D F2 0D ED 00 01 00 02 00 00 00 00 EC E9,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK,"response regs 0x0020..0x002A: SOH=100%%, chg_v_target=57.60V, warn=0x0000 (none), dis_lim=190.00A, ext_err=0x0000, cell_max=3.570V",
33,ok,request,0x01,0x03,0x0071,16,,true,1322748799,1324707114,6613743.995,6623535.570,9791.575,359866.725,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
