sequence_no,frame_count,start_us,end_us,duration_us,gap_from_previous_us,unique_can_ids,first_frame_no,last_frame_no
1,10,72568.685,972844.620,900275.935,,0x351 0x355 0x356 0x359 0x35C 0x35E 0x370 0x371,1,10
2,24,1073022.185,3372955.120,2299932.935,100177.565,0x351 0x355 0x356 0x359 0x35C 0x35E 0x370 0x371,11,34
3,24,3473128.685,5773065.640,2299936.955,100173.565,0x351 0x355 0x356 0x359 0x35C 0x35E 0x370 0x371,35,58
4,24,5873229.185,8173176.450,2299947.265,100163.545,0x351 0x355 0x356 0x359 0x35C 0x35E 0x370 0x371,59,82
5,18,8273350.045,9973313.275,1699963.230,100173.595,0x351 0x355 0x356 0x359 0x35C 0x35E 0x370 0x371,83,100
