frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
215,ok,standard,0x380,data,8,1714498528,1714543608,8572492.640,8572718.040,225.400,39726.775,34 30 39 30 34 34 39 30,Victron CAN v2026.07.03a 0x380 ASCII segment DLC=8 [34 30 39 30 34 34 39 30],0x380 ASCII '40904490' raw=34 30 39 30 34 34 39 30,
216,ok,standard,0x381,data,8,1722498967,1722546447,8612494.835,8612732.235,237.400,39776.795,38 30 39 00 30 30 30 00,Victron CAN v2026.07.03a 0x381 ASCII segment DLC=8 [38 30 39 00 30 30 30 00],0x381 ASCII '809 000' raw=38 30 39 00 30 30 30 00,
217,ok,standard,0x351,data,8,1730509800,1730555280,8652549.000,8652776.400,227.400,39816.765,9E 02 7C 20 B6 03 E3 00,Victron CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V flags=charge=ON discharge=ON,
218,ok,standard,0x355,data,8,1738499437,1738544917,8692497.185,8692724.585,227.400,39720.785,63 00 64 00 8E 26 00 00,Victron CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 8E 26 00 00],0x355 SOC=99% SOH=100% raw_tail=8E 26 00 00,
219,ok,standard,0x356,data,8,1746499874,1746545754,8732499.370,8732728.770,229.400,39774.785,52 16 00 00 33 01 00 00,Victron CAN v2026.07.03a 0x356 pack DLC=8 [52 16 00 00 33 01 00 00],0x356 pack V=57.14V I=+0.0A temp=30.7C raw_tail=00 00,
220,ok,standard,0x35A,data,8,1754512308,1754557388,8772561.540,8772786.940,225.400,39832.770,A8 A8 02 00 A8 A8 02 02,Victron CAN v2026.07.03a 0x35A vendor/raw DLC=8 [A8 A8 02 00 A8 A8 02 02],0x35A vendor/raw raw=A8 A8 02 00 A8 A8 02 02,
221,ok,standard,0x35E,data,8,1762585147,1762629827,8812925.735,8813149.135,223.400,40138.795,4A 4B 2D 42 4D 53 00 00,Victron CAN v2026.07.03a 0x35E manufacturer DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E ASCII 'JK-BMS' raw=4A 4B 2D 42 4D 53 00 00,
222,ok,standard,0x35F,data,8,1770511580,1770557460,8852557.900,8852787.300,229.400,39408.765,69 4C 0F 26 27 00 00 00,Victron CAN v2026.07.03a 0x35F battery/raw DLC=8 [69 4C 0F 26 27 00 00 00],"0x35F battery/raw raw=69 4C 0F 26 27 00 00 00 u16=[19561, 9743, 39, 0]",
223,ok,standard,0x360,data,8,1778519216,1778568296,8892596.080,8892841.480,245.400,39808.780,00 00 00 00 00 00 00 00,Victron CAN v2026.07.03a 0x360 status/raw DLC=8 [00 00 00 00 00 00 00 00],0x360 status/raw raw=00 00 00 00 00 00 00 00,
224,ok,standard,0x370,data,8,1786501655,1786546335,8932508.275,8932731.675,223.400,39666.795,4A 4B 2D 42 4D 53 00 00,Victron CAN v2026.07.03a 0x370 ASCII/raw DLC=8 [4A 4B 2D 42 4D 53 00 00],0x370 ASCII 'JK-BMS' raw=4A 4B 2D 42 4D 53 00 00,
225,ok,standard,0x371,data,8,1794502087,1794550767,8972510.435,8972753.835,243.400,39778.760,00 00 00 00 00 00 00 00,Victron CAN v2026.07.03a 0x371 raw DLC=8 [00 00 00 00 00 00 00 00],0x371 raw raw=00 00 00 00 00 00 00 00,
226,ok,standard,0x372,data,8,1802510527,1802558807,9012552.635,9012794.035,241.400,39798.800,01 00 00 00 00 00 00 00,Victron CAN v2026.07.03a 0x372 raw DLC=8 [01 00 00 00 00 00 00 00],0x372 raw raw=01 00 00 00 00 00 00 00,
227,ok,standard,0x373,data,8,1810513763,1810559243,9052568.815,9052796.215,227.400,39774.780,F3 0D F4 0D 2F 01 30 01,Victron CAN v2026.07.03a 0x373 cell/temp tentative DLC=8 [F3 0D F4 0D 2F 01 30 01],0x373 tentative cell_min=3.571V cell_max=3.572V t1=30.3C t2=30.4C,
228,ok,standard,0x374,data,8,1818503399,1818550079,9092516.995,9092750.395,233.400,39720.780,30 30 3A 3A 30 32 00 00,Victron CAN v2026.07.03a 0x374 ASCII segment DLC=8 [30 30 3A 3A 30 32 00 00],0x374 ASCII '00::02' raw=30 30 3A 3A 30 32 00 00,
