sequence_no,frame_count,start_us,end_us,duration_us,gap_from_previous_us,unique_can_ids,first_frame_no,last_frame_no
1,4,25939.275,326185.170,300245.895,,0x351 0x355 0x359 0x371,1,4
2,17,426452.400,2026261.835,1599809.435,100267.230,0x351 0x355 0x356 0x359 0x35C 0x35E 0x370 0x371,5,21
3,72,2126531.055,9226593.205,7100062.150,100269.220,0x351 0x355 0x356 0x359 0x35C 0x35E 0x370 0x371,22,93
4,7,9326852.435,9926627.140,599774.705,100259.230,0x351 0x355 0x359 0x35C 0x35E 0x370 0x371,94,100
